1999,Visual Effects,The Matrix
1999,Writing,The Cider House Rules
1999,Writing,American Beauty
1999,Irving G. Thalberg Memorial Award,Warren Beatty
1998,Actor -- Leading Role,Roberto Benigni
1998,Actor -- Supporting Role,James Coburn
1998,Actress -- Leading Role,Gwyneth Paltrow
1998,Actress -- Supporting Role,Judi Dench
1998,Art Direction,Shakespeare in Love
1998,Cinematography,Saving Private Ryan
1998,Costume Design,Shakespeare in Love
1998,Directing,Saving Private Ryan
1998,Documentary (Feature),The Last Days
1998,Documentary (Short Subject),The Personals: Improvisations on Romance in the Golden Years
1998,Film Editing,Saving Private Ryan
1998,Foreign Language Film,Life Is Beautiful
1998,Makeup,Elizabeth
1998,Music (Scoring),Life Is Beautiful
1998,Music (Scoring),Shakespeare in Love
1998,Music (Song),The Prince of Egypt
1998,Best Picture,Shakespeare in Love
1998,Short Film (Animated),Bunny
1998,Short Film (Live Action),Election Night (Valgaften)
1998,Sound,Saving Private Ryan
1998,Sound Editing,Saving Private Ryan
1998,Visual Effects,What Dreams May Come
1998,Writing,Gods and Monsters
1998,Writing,Shakespeare in Love
1998,Irving G. Thalberg Memorial Award,Norman Jewison
1997,Actor -- Leading Role,Jack Nicholson
1997,Actor -- Supporting Role,Robin Williams
1997,Actress -- Leading Role,Helen Hunt
1997,Actress -- Supporting Role,Kim Basinger
1997,Art Direction,Titanic
1997,Cinematography,Titanic
1997,Costume Design,Titanic
1997,Directing,Titanic
1997,Documentary (Feature),The Long Way Home
1997,Documentary (Short Subject),A Story of Healing
1997,Film Editing,Titanic
1997,Foreign Language Film,Character
1997,Makeup,Men in Black
1997,Music (Scoring),Titanic
1997,Music (Scoring),The Full Monty
1997,Music (Song),Titanic
1997,Best Picture,Titanic
1997,Short Film (Animated),Geri's Game
1997,Short Film (Live Action),Visas and Virtue
1997,Sound,Titanic
1997,Sound Editing,Titanic
1997,Visual Effects,Titanic
1997,Writing,L.A. Confidential
1997,Writing,Good Will Hunting
1996,Actor -- Leading Role,Geoffrey Rush
1996,Actor -- Supporting Role,"Cuba Gooding, Jr."
1996,Actress -- Leading Role,Frances McDormand
1996,Actress -- Supporting Role,Juliette Binoche
1996,Art Direction,The English Patient
1996,Cinematography,The English Patient
1996,Costume Design,The English Patient
1996,Directing,The English Patient
1996,Documentary (Feature),When We Were Kings
1996,Documentary (Short Subject),Breathing Lessons: The Life and Work of Mark O'Brien
1996,Film Editing,The English Patient
1996,Foreign Language Film,Kolya
1996,Makeup,The Nutty Professor
1996,Music (Scoring),The English Patient
1996,Music (Scoring),Emma
1996,Music (Song),Evita
1996,Best Picture,The English Patient
1996,Short Film (Animated),Quest
1996,Short Film (Live Action),Dear Diary
1996,Sound,The English Patient
1996,Sound Editing,The Ghost and the Darkness
1996,Visual Effects,Independence Day
1996,Writing,Sling Blade
1996,Writing,Fargo
1996,Irving G. Thalberg Memorial Award,Saul Zaentz
1995,Actor -- Leading Role,Nicolas Cage
1995,Actor -- Supporting Role,Kevin Spacey
1995,Actress -- Leading Role,Susan Sarandon
1995,Actress -- Supporting Role,Mira Sorvino
1995,Animated Feature Film,"To John Lasseter, for his inspired leadership of the Pixar Toy Story team, resulting in the first feature-length computer-animated film."
1995,Art Direction,Restoration
1995,Cinematography,Braveheart
1995,Costume Design,Restoration
1995,Directing,Braveheart
1995,Documentary (Feature),Anne Frank Remembered
1995,Documentary (Short Subject),One Survivor Remembers
1995,Film Editing,Apollo 13
1995,Foreign Language Film,Antonia's Line
1995,Makeup,Braveheart
1995,Music (Scoring),The Postman (Il Postino)
1995,Music (Scoring),Pocahontas
1995,Music (Song),Pocahontas
1995,Best Picture,Braveheart
1995,Short Film (Animated),A Close Shave
1995,Short Film (Live Action),Lieberman in Love
1995,Sound,Apollo 13
1995,Sound Editing,Braveheart
1995,Visual Effects,Babe
1995,Writing,Sense and Sensibility
1995,Writing,The Usual Suspects
1994,Actor -- Leading Role,Tom Hanks
1994,Actor -- Supporting Role,Martin Landau
1994,Actress -- Leading Role,Jessica Lange
1994,Actress -- Supporting Role,Dianne Wiest
1994,Art Direction,The Madness of King George
1994,Cinematography,Legends of the Fall
1994,Costume Design,"The Adventures of Priscilla, Queen of the Desert"
1994,Directing,Forrest Gump
1994,Documentary (Feature),Maya Lin: A Strong Clear Vision
1994,Documentary (Short Subject),A Time for Justice
1994,Film Editing,Forrest Gump
1994,Foreign Language Film,Burnt by the Sun
1994,Makeup,Ed Wood
1994,Music (Scoring),The Lion King
1994,Music (Song),The Lion King
1994,Best Picture,Forrest Gump
1994,Short Film (Animated),Bob's Birthday
1994,Short Film (Live Action),Franz Kafka's It's a Wonderful Life
1994,Short Film (Live Action),Trevor
1994,Sound,Speed
1994,Sound Editing,Speed
1994,Visual Effects,Forrest Gump
1994,Writing,Forrest Gump
1994,Writing,Pulp Fiction
1994,Irving G. Thalberg Memorial Award,Clint Eastwood
1993,Actor -- Leading Role,Tom Hanks
1993,Actor -- Supporting Role,Tommy Lee Jones
1993,Actress -- Leading Role,Holly Hunter
1993,Actress -- Supporting Role,Anna Paquin
1993,Art Direction,Schindler's List
1993,Cinematography,Schindler's List
1993,Costume Design,The Age of Innocence
1993,Directing,Schindler's List
1993,Documentary (Feature),I Am a Promise: The Children of Stanton Elementary School
1993,Documentary (Short Subject),Defending Our Lives
1993,Film Editing,Schindler's List
1993,Foreign Language Film,Belle Epoque
1993,Makeup,Mrs. Doubtfire
1993,Music (Scoring),Schindler's List
1993,Music (Song),Philadelphia
1993,Best Picture,Schindler's List
1993,Short Film (Animated),The Wrong Trousers
1993,Short Film (Live Action),Black Rider (Schwarzfahrer)
1993,Sound,Jurassic Park
1993,Sound Editing,Jurassic Park
1993,Visual Effects,Jurassic Park
1993,Writing,Schindler's List
1993,Writing,The Piano
1992,Actor -- Leading Role,Al Pacino
1992,Actor -- Supporting Role,Gene Hackman
1992,Actress -- Leading Role,Emma Thompson
1992,Actress -- Supporting Role,Marisa Tomei
1992,Art Direction,Howards End
